video_name,transcription,is_song,duration_sec,author_id,followers,following,account_creation,video_creation,likes,comments,shares,engagement_rate,viral,descripcion,descripcion_ingles,categories,categories_probs
6880865616215952641.mp4,this time this is my fight song take back my life song prove it on the right song my powers turn us starting right now ill be strong.,1,14.92,user_00001,48213,2488,5/30/20,5/10/24,3033,328,217,7.421234937,1," se muestra a una mujer joven sonriente y sonriente en una habitación. Ella está vestida con una camisa roja y pantalones azules y parece estar en una conversación animada con alguien en la pantalla. La habitación tiene una escalera en la parte superior y una puerta en la parte inferior. La mujer sonríe y hace gestos con las manos, como si","The room has a staircase on the top and a door on the bottom. The woman smiles and gestures with her hands, as if she were standing in front of a mirror.","[comedy, unidentified]","[0.7940657734870911, 0.7761991620063782]"
6901592880129805570.mp4,just kill him.,1,7.84,user_00001,47618,2488,5/30/20,8/17/22,2994,237,257,7.324961149,1," vemos a una mujer joven con cabello largo y oscuro, vestida con una camiseta de mezclilla y una sudadera de mezcla de colores, bebiendo una bebida en un vaso de plástico. Ella parece estar en una habitación con una decoración casual, con una luz tenue y una pantalla de televisión en la parte superior de la pared.","We see a young woman with long, dark hair, dressed in a mezclilla shirt and a mixed-color sweater, drinking a drink in a plastic glass.",[unidentified],[0.7950223088264465]
6907570846215294210.mp4,no more i wanna be mine.,1,8.23,user_00100,2051,4765,9/29/25,10/1/25,112,12,10,6.533398342,1," se muestra una escena de un anime donde un personaje masculino, vestido con una camisa de color azul y una capa, está sentado en una silla y habla con un personaje femenino. El personaje femenino, que lleva una blusa de color rosa, está de pie frente a él. El personaje masculino le habla y le sonríe, y el personaje femenio","A scene from an anime shows a male character, dressed in a blue shirt and a cape, sitting in a chair and talking to a female character.",[unidentified],[0.7008947730064392]
6880924024227040513.mp4,the meeting in my bed in my bed theres a meeting in my bed in my bed theres a meeting in my bed.,1,12.95,user_00001,50037,2488,5/30/20,12/20/23,2848,152,238,6.471211304,1," vemos a un hombre en una casa con una puerta cerrada detrás de él. El hombre está sosteniendo un panel de madera con una inscripción en su espalda y se dirige hacia la puerta. Mientras se acerca, la puerta se abre y un perro salta a través de ella. El hombre parece sorprendido y se detiene, pero luego continúa hacia la puerta. La","We see a man in a house with a door locked behind him. The man is holding a wooden panel with an inscription on his back and is heading towards the door. As he approaches, the door opens and a dog jumps through it. The man seems surprised and stops, but then continues towards the door.","[comedy, unidentified]","[0.7576150298118591, 0.5641284584999084]"
6895303013867539713.mp4,oh no oh no oh no no no no no no.,1,11.37,user_00136,6707,2063,4/10/24,9/3/25,369,48,8,6.336663188,1, se ve a una persona en un carro que está usando un dispositivo de navegaci,If you see a person in a car using a navigation device,"[technology, vehicles, unidentified]","[0.9729595184326172, 0.9626731276512146, 0.6519091129302979]"
6883165648290139394.mp4,the truth is that the world is a lie yeah spin it by the gods this is not a show yeah.,1,15.07,user_00194,4923,9365,5/6/21,6/6/21,276,33,2,6.317286208,1," vemos a una pareja joven, una mujer y un hombre, sentados frente a la cámara. La mujer está sonriendo y posando para la cámara, mientras que el hombre parece estar durmiendo o en una especie de estado alterado. La cámara está iluminada por una luz tenue y ambiente suave, y hay una pantalla de televisión en la parte superior de la pantalla","We see a young couple, a woman and a man, sitting in front of the camera, the woman is smiling and posing for the camera, while the man seems to be asleep or in some kind of altered state.","[comedy, unidentified]","[0.8748276829719543, 0.6023831963539124]"
6902096916776209665.mp4,me.,1,42.33,user_00146,4781,3983,6/4/23,10/17/25,253,26,22,6.295754026,1," se muestra a un grupo de niños en una clase de historia, con un maestro que está hablando. Uno de los niños, un chico con cabello corto y ojos verdes, se levanta y comienza a hablar con los demás. Luego, el maestro le pregunta si quiere hablar con él en privado. Más tarde, el maestro le dice que se va a hablar","One of the children, a boy with short hair and green eyes, stands up and starts talking to the others. Then the teacher asks him if he wants to talk to him in private. Later the teacher tells him that he will talk to him in private.","[comedy, unidentified]","[0.7844842076301575, 0.42015340924263]"
6882043160806116609.mp4,i.,0,12.6,user_00136,6614,2063,4/10/24,2/16/25,363,44,7,6.259449652,1," se muestra a una persona con una expresión de preocupación o triste en su rostro. La persona tiene cabello corto y de color oscuro, y está vestida con una camisa azul y una chaqueta de color rojo. En la escena, hay una ventana con una cortina de lana y una lámpara en la parte superior. La persona se mueve lentamente hacia la iz","The person has short, dark hair, is dressed in a blue shirt and a red jacket. In the scene, there is a window with a wool curtain and a lamp on top. The person moves slowly towards the left",[unidentified],[0.7984226942062378]
6907990866284088578.mp4,प्रदावा ने जाती ने सी सारे आप बिश्वास जेते हैं माली सी यारे में जेता हैं.,1,7.4,user_00146,4870,3983,6/4/23,9/18/23,258,24,21,6.221765914,1," se ve a un hombre joven con una barba y cabello oscuro, vestido con una camisa y una chaqueta, hablando con la cámara. En la parte inferior de la pantalla, se ve una persona más joven, también con cabello oscuro, pero no se puede ver su rostro. El entorno es una habitación con una pared de fondo y una ventana en la parte","If you see a young man with a beard and dark hair, dressed in a shirt and jacket, talking to the camera, in the bottom of the screen, you see a younger person, also with dark hair, but you cant see his face.","[unidentified, technology]","[0.8451772928237915, 0.44200417399406433]"
6897028685413633281.mp4,im not playing around.,1,11.77,user_00081,62347,706,3/1/18,4/22/18,3205,466,192,6.195967729,1," se ve a un hombre con una barba y una camiseta de lana, sentado en una habitación y hablando con la cámara. Más tarde, se ve a un hombre con una barba y una camiseta de lana sentado en una habitación diferente, también hablando con la cámara. En ambas situaciones, el hombre está en una habitación con una ventana y una puerta","You see a man with a beard and a wool shirt sitting in a room and talking to the camera. Later, you see a man with a beard and a wool shirt sitting in a different room, also talking to the camera.",[unidentified],[0.5083207488059998]
